"DATE","TIME PERIOD","Euro short-term rate - Calculation method (EST.B.EU000A2X2A25.CM)","Euro short-term rate - Number of active banks (EST.B.EU000A2X2A25.NB)","Euro short-term rate - Number of transactions (EST.B.EU000A2X2A25.NT)","Euro short-term rate - Rate at 25th percentile of volume (EST.B.EU000A2X2A25.R25)","Euro short-term rate - Rate at 75th percentile of volume (EST.B.EU000A2X2A25.R75)","Euro short-term rate - Publication type (EST.B.EU000A2X2A25.RP)","Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT)","Euro short-term rate - Share of volume of the 5 largest active banks (EST.B.EU000A2X2A25.VL)","Euro short-term rate - Volume-weighted trimmed mean rate (EST.B.EU000A2X2A25.WT)"
"2025-11-13","13 Nov 2025","0","49","862","1.90","1.96","0","62747","39","1.930"
"2025-11-14","14 Nov 2025","0","49","880","1.90","1.96","0","60568","39","1.931"
"2025-11-17","17 Nov 2025","0","49","879","1.90","1.95","0","61796","41","1.929"
"2025-11-18","18 Nov 2025","0","49","920","1.90","1.95","0","65132","40","1.930"
"2025-11-19","19 Nov 2025","0","49","915","1.90","1.95","0","63833","39","1.929"
"2025-11-20","20 Nov 2025","0","46","788","1.90","1.95","0","56401","43","1.929"
"2025-11-21","21 Nov 2025","0","51","864","1.90","1.95","0","60857","41","1.926"
"2025-11-24","24 Nov 2025","0","49","865","1.89","1.95","0","61783","40","1.924"
"2025-11-25","25 Nov 2025","0","47","839","1.90","1.95","0","59088","43","1.926"
"2025-11-26","26 Nov 2025","0","47","899","1.90","1.95","0","61419","45","1.928"
"2025-11-27","27 Nov 2025","0","47","813","1.90","1.95","0","58362","42","1.927"
"2025-11-28","28 Nov 2025","0","46","775","1.90","1.95","0","54913","44","1.925"
"2025-12-01","01 Dec 2025","0","46","875","1.90","1.96","0","65141","41","1.930"
"2025-12-02","02 Dec 2025","0","48","910","1.90","1.96","0","65880","40","1.929"
"2025-12-03","03 Dec 2025","0","47","874","1.90","1.95","0","62497","39","1.926"
"2025-12-04","04 Dec 2025","0","47","857","1.90","1.95","0","64927","43","1.929"
