date,Euribor_3m,Euribor_1w,Euribor_1m,Euribor_6m,Euribor_12m,VIX,EuroStoxx_Banks,Bund_10Y,ECB_Deposit,ECB_Marginal,ECB_Main,ECB_Yield_10Y,ECB_Yield_1Y,ECB_Yield_10Y,ECB_Yield_1Y,TIME PERIOD,Euro short-term rate - Calculation method (EST.B.EU000A2X2A25.CM),Euro short-term rate - Number of active banks (EST.B.EU000A2X2A25.NB),Euro short-term rate - Number of transactions (EST.B.EU000A2X2A25.NT),Euro short-term rate - Rate at 25th percentile of volume (EST.B.EU000A2X2A25.R25),Euro short-term rate - Rate at 75th percentile of volume (EST.B.EU000A2X2A25.R75),Euro short-term rate - Publication type (EST.B.EU000A2X2A25.RP),Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT),Euro short-term rate - Share of volume of the 5 largest active banks (EST.B.EU000A2X2A25.VL),Euro short-term rate - Volume-weighted trimmed mean rate (EST.B.EU000A2X2A25.WT),OIS_1m,OIS_3m
2005-03-11,2.135,2.082,2.102,2.177,2.306,12.8,46777.32539931099,3.69619047619048,1.0,3.0,2.0,4.706869,2.421971,3.787095,2.200069,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-03-17,2.136,2.084,2.104,2.184,2.328,13.29,46777.32539931099,3.69619047619048,1.0,3.0,2.0,4.543093,2.475856,3.696787,2.236285,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-03-23,2.142,2.091,2.104,2.218,2.395,14.06,46777.32539931099,3.69619047619048,1.0,3.0,2.0,4.538618,2.554953,3.73916,2.281479,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-03-31,2.147,2.093,2.105,2.207,2.359,14.02,46495.458816160346,3.69619047619048,1.0,3.0,2.0,4.500639,2.479995,3.654529,2.235843,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-04-06,2.148,2.092,2.105,2.194,2.319,13.15,46495.458816160346,3.48238095238095,1.0,3.0,2.0,4.501771,2.411455,3.615034,2.207123,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-04-12,2.14,2.091,2.105,2.174,2.284,11.3,46495.458816160346,3.48238095238095,1.0,3.0,2.0,4.503465,2.373201,3.590845,2.179164,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-04-18,2.134,2.092,2.105,2.162,2.231,16.56,46495.458816160346,3.48238095238095,1.0,3.0,2.0,4.479689,2.31009,3.53554,2.133972,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-04-22,2.133,2.092,2.104,2.162,2.236,15.38,46495.458816160346,3.48238095238095,1.0,3.0,2.0,4.440112,2.267609,3.508397,2.115986,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-04-28,2.128,2.093,2.105,2.153,2.211,16.86,46495.458816160346,3.48238095238095,1.0,3.0,2.0,4.376016,2.218627,3.446112,2.087982,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
2005-05-04,2.125,2.101,2.104,2.141,2.184,13.85,44889.86324250965,3.30409090909091,1.0,3.0,2.0,4.449716,2.192378,3.482926,2.077106,01 Oct 2019,0.0,32.0,432.0,-0.57,-0.53,0.0,35996.0,54.0,-0.549,-0.32,-0.45
